NO,Title.of.Program,LOCATION,Executing.Firm,CONSULTANT,Start.Date,Anticipated.Completion.Date,Contract.Sum,Funding.Sources,Status.of.Project,,,,,,,,,,,,,,,,
719  ,Surfacing Works on MKOGH Bridge Street (CH 0+130-0+260) – Ayawaso West,West Legon,Messrs Syndicated Capital Finance Engineering,Metro Roads Department,"Monday, September 14, 2026","Thursday, April 15, 2027","49,908.80",Road Fund,Completed,,,,,,,,,,,,,,,,
720  ,"Surfacing of K. Asante  Avenue , West Legon (Chainage 0+140-0+280) – Ayawaso west",West Legon,Messrs Syndicated Capital Finance Engineering,Metro Roads Department,"Thursday, July 14, 2016","Friday, January 15, 2027","49,932.50",Road Fund,Completed,,,,,,,,,,,,,,,,
721  ,Surfacing Works on MKOGH Bridge Street (CH 0+000-0+130) – Ayawaso West,West Legon,Messrs Syndicated Capital Finance Engineering,Metro Roads Department,"Monday, September 14, 2026","Thursday, April 15, 2027","49,908.80",Road Fund,Completed,,,,,,,,,,,,,,,,
722  ,Surfacing Works on censor- Gulf House Link Road (CH 0+125-0+250) – Ayawaso West,Ayawaso West,Messrs Syndicated Capital Finance Engineering,Metro Roads Department,"Thursday, July 14, 2016","Friday, January 15, 2016","49,870.88",Road Fund,Completed,,,,,,,,,,,,,,,,
723  ,Gravelling Works on Nsakinaa Link (Chainage 0+000-0+280),Dansoman,Messrs Jotie Enterprise,Metro Roads Department,-,-,"49,767.00",Road Fund,Completed,,,,,,,,,,,,,,,,
724  ,Paving Works at Latebiokorshie Phase 2 (Chainage 0+105-0+210)- Ablekuma Central,Latebiokorshie,Messrs Le-Lac Investment LTD,Metro Roads Department,-,-,"49,866.00",Road Fund,Completed,,,,,,,,,,,,,,,,
725  ,Paving Works at Latebiokorshie Phase 1 (Chainage 0+000-0+105)- Ablekuma Central,Latebiokorshie,Messrs Galoni Ventures,Metro Roads Department,"Monday, September 14, 2026","Wednesday, December 14, 2005","49,586.00",Road Fund,Completed,,,,,,,,,,,,,,,,
726  ,Kerb / Gravelling  work at BNI Residence Dansoman Exhibition – Ablekuma South Phase 1,Dansoman,Messrs Dapore Ventures,Metro Roads Department,"Friday, December 14, 2018","Tuesday, April 15, 2008","49,052.50",Road Fund,Completed,,,,,,,,,,,,,,,,
727  ,Surfacing works on Gbawe Road ( Chainage 0+390-0+520) – Ablekuma Central,Flamingo Area,Messrs Syndicated Capital Finance Engineering,Metro Roads Department,"Thursday, July 14, 2016","Tuesday, December 14, 2004","49,239.82",Road Fund,Completed,,,,,,,,,,,,,,,,
728  ,Surfacing works on Gbawe Road ( Chainage 0+000-0+130) – Ablekuma Central,Flamingo Area,Messrs Intra Grid System/ Syndicated Capital Finance Engineering,Metro Roads Department,"Thursday, July 14, 2016","Tuesday, December 14, 2004","49,239.82",Road Fund,Completed,,,,,,,,,,,,,,,,
729  ,Surfacing works on Gbawe Road ( Chainage 0+650-0+780) – Ablekuma Central,Flamingo Area,Messrs Intra Grid System/ Syndicated Capital Finance Engineering,Metro Roads Department,"Thursday, July 14, 2016","Tuesday, December 14, 2004","49,239.82",Road Fund,Completed,,,,,,,,,,,,,,,,
730  ,Surfacing works on Gbawe Road ( Chainage 0+130-0+260) – Ablekuma Central,Flamingo Area,Messrs Intra Grid System/ Syndicated Capital Finance Engineering,Metro Roads Department,"Thursday, July 14, 2016","Tuesday, December 14, 2004","49,239.82",Road Fund,Completed,,,,,,,,,,,,,,,,
731  ,Construction of Concrete Speed Hump on  Church Street  Contract No.AMRD/LA/VOL.1/14/PM/129,Darkuman,Messrs Fredacheson Ghana Limited,Metro Roads Department,"Monday, April 14, 1930","Thursday, August 14, 1930","49,168.08",Road Fund,Completed,,,,,,,,,,,,,,,,
732  ,Gravelling works on Roads in Police Depot Training School Road 2 in Tesano (chainage 0+160-0+310)  ,Tesano Police Depot,Messrs Salleydeen Company Limited,Metro Roads Department,"Friday, December 14, 2018","Friday, September 14, 2029","49,343.13",Road Fund,Completed,,,,,,,,,,,,,,,,
733  ,Gravelling works on Roads in Police Depot Training School Road 1 in Tesano (chainage 0+150-0+300)  ,Tesano Police Depot,Messrs Salleydeen Company Limited,Metro Roads Department,"Friday, December 14, 2018","Friday, September 14, 2029","49,343.13",Road Fund,Completed,,,,,,,,,,,,,,,,
734  ,Gravelling works on Roads in Police Depot Training School Road 2 in Tesano (chainage 0+000-0+160)  ,Tesano Police Depot,Messrs Salleydeen Company Limited,Metro Roads Department,"Friday, December 14, 2018","Friday, September 14, 2029","49,343.13",Road Fund,Completed,,,,,,,,,,,,,,,,
735  ,Gravelling works on Roads in Police Depot Training School Road 1 in Tesano (chainage 0+000-0+160)  ,Tesano Police Depot,Messrs Salleydeen Company Limited,Metro Roads Department,"Friday, December 14, 2018","Friday, September 14, 2029","49,343.13",Road Fund,Completed,,,,,,,,,,,,,,,,
736  ,Relocated to Police Depot Training School Road 1 Tesano (Chainage 039.8-0+1500 and Branch Road A2 at CH0+275 RHS,Tesano Police Depot,Messrs Salleydeen Company Limited,Metro Roads Department,"Friday, December 14, 2018","Friday, September 14, 2029","49,343.13",Road Fund,Completed,,,,,,,,,,,,,,,,
737  ,Surfacing Works on MKOGH Bridge Street (CH 0+390-0+520) – Ayawaso West,West Legon,Messrs Syndicated Capital Finance Engineering,Metro Roads Department,"Friday, August 14, 2026","Wednesday, April 14, 2027","49,908.80",Road Fund,Completed,,,,,,,,,,,,,,,,
738  ,Surface Works on censor- N1 Link Road (CH 0+360-0+480) – Ayawaso West,West Legon,Messrs Syndicated Capital Finance Engineering,Metro Roads Department,"Thursday, July 14, 2016","Friday, January 15, 2016","49,870.88",Road Fund,Completed,,,,,,,,,,,,,,,,
739  ,"Surfacing of K. Asante  Avenue, West Legon (Chainage 0+280-0+420) – Ayawaso west",West Legon,Messrs Syndicated Capital Finance Engineering,Metro Roads Department,"Thursday, July 14, 2016","Friday, January 15, 2027","49,932.50",Road Fund,Completed,,,,,,,,,,,,,,,,
740  ,"Surfacing of K. Asante  Avenue, West Legon (Chainage 0+420-0+560) – Ayawaso west",West Legon,Messrs Syndicated Capital Finance Engineering,Metro Roads Department,"Thursday, July 14, 2016",27/1/2015,"49,932.50",Road Fund,Completed,,,,,,,,,,,,,,,,
741  ,"Surfacing of K. Asante  Avenue, West Legon (Chainage 0+560-0+680) – Ayawaso west",West Legon,Messrs Syndicated Capital Finance Engineering,Metro Roads Department,"Thursday, July 14, 2016",27/4/2015,"49,723.04",Road Fund,Completed,,,,,,,,,,,,,,,,
742  ,Surfacing Works on MKOGH Bridge Street (CH 0+260-0+390) – Ayawaso West,West Legon,Messrs Syndicated Capital Finance Engineering,Metro Roads Department,"Monday, September 14, 2026","Thursday, April 15, 2027","49,908.80",Road Fund,Completed,,,,,,,,,,,,,,,,
743  ,Pavement of Alleys in same Day  with UN-Habitat Facility,Ga Mashie,Messrs Milpar Investment and Development,Metro Roads Department,-,-,"78,418.02",Road Fund,Completed,,,,,,,,,,,,,,,,
744  ,Payment of Alleys in Tabon (Azumah House) with UN-Habitat Facility,Ga-Mashie,Messrs Edisa Enterprise Ltd,Metro Roads Department,-,-,"91,831.71",Road Fund,Completed,,,,,,,,,,,,,,,,
745  ,Paving of Alleys in Quarcoopome House with UN-Habitat Facility,Ga-Mashie,Messrs Nikkon Gobal Company Ltd,Metro Roads Department,-,-,"77,333.43",Road Fund,Completed,,,,,,,,,,,,,,,,
746  ,Pavement of Alleys in Nmaamnonaa (Ga –Manhean) with UN-Habitat Facility,Ga-Mashie,Messrs Edisa Pequazie Ltd,Metro Roads Department,-,-,"193,701.80",Road Fund,Completed,,,,,,,,,,,,,,,,
747  ,Replacement and Installation of Bollards at critical location,East Legon,Messrs Ibrahim Doodo Enterprise,Metro Roads Department,-,-,"49,100.00",Road Fund,Completed,,,,,,,,,,,,,,,,
748  ,Pavement of Alleys in same Day 2 with UN-Habitat Facility,Ga-Mashie,Messrs Construire Company Ltd,Metro Roads Department,-,-,"26,859.05",Road Fund,Completed,,,,,,,,,,,,,,,,
749  ,Pavement of Alleys in Afienaa 1 with UN-Habitat Facility,Ga-Mashie,Messrs Construire Company Ltd,Metro Roads Department,-,-,"42,647.87",Road Fund,Completed,,,,,,,,,,,,,,,,
750  ,Pavement of Alleys in Afienaa 2 with UN-Habitat Facility,Ga-Mashie,Messrs Construire Company Ltd,Metro Roads Department,-,-,"42,647.87",Road Fund,Completed,,,,,,,,,,,,,,,,
751  ,Installation of Pedestrian Guardrails at Lapaz,Lapaz,Messrs Facol Ltd,Metro Roads Department,-,-,"49,878.00",Road Fund,Completed,,,,,,,,,,,,,,,,
752  ,Installation of Pedestrian Guardrails at Akuaffo DVLA Mark,Lapaz,Messrs Facol Ltd,Metro Roads Department,-,-,"49,671.80",Road Fund,Completed,,,,,,,,,,,,,,,,
753  ,Installation of Pedestrian Guardrails at Airport By-Pass – Shangri La,Airport,Messrs Facol Ltd,Metro Roads Department,-,-,"49,654.60",Road Fund,Completed,,,,,,,,,,,,,,,,
754  ,Installation of Pedestrian Guardrails at Nsawam Road Joy FM and Boomerang,Alajo,Messrs Facol Ltd,Metro Roads Department,-,-,"49,878.00",Road Fund,Completed,,,,,,,,,,,,,,,,
755  ,"Routine Maintenance Works on Cleland Street, High Street & 28th February Road For Month of October, 2015",High Street,M/S Zatomwando ENT,Metro Roads Department,-,-,"4,880.00",Road Fund,Completed,,,,,,,,,,,,,,,,
756  ,"Routine maintenance  works along Abossey Okai Road (RHS) for the month of  August, 2015",Abossey Okai,M/s Dantoz Ent,Metro Roads Department,-,-,"6,795.00",Road Fund,Completed,,,,,,,,,,,,,,,,
757  ,"Routine maintenance works on Cleland street, High street & 28th February Road for the month August, 2015",Accra,Messrs Zatomwando Ent,Metro Roads Department,"Saturday, October 14, 2028",-,"4,880.00",Road Fund,Completed,,,,,,,,,,,,,,,,
758  ,Surfacing works on Trinity Road – Mempeasem (CH 0+250-0+375),Mempeasem,M/S Shamma Rohi Limited,Metro Roads Department,"Tuesday, March 14, 2017","Wednesday, May 14, 2025","49,896.41",Road Fund,Completed,,,,,,,,,,,,,,,,
759  ,Surfacing Works on Trinity Road – Mempeasem (CH 0+000-0+125),Mempeasem,M/S Shamma Rohi Limited,Metro Roads Department,"Tuesday, March 14, 2017","Wednesday, May 14, 2025","49,658.90",Road Fund,Completed,,,,,,,,,,,,,,,,
760  ,Surfacing Works On Trinity Road – Mempeasem (CH 0+125-0+250),Mempeasem,M/S Shamma Rohi Limited,Metro Roads Department,"Tuesday, March 14, 2017","Wednesday, May 14, 2025","49,896.41",Road Fund,Completed,,,,,,,,,,,,,,,,
761  ,Surfacing Works on Trinity Road – Mempeasem (CH 0+375-0+500),Mempeasem,M/S Shamma Rohi Limited,Metro Roads Department,"Tuesday, March 14, 2017","Saturday, June 14, 2025","49,896.41",Road Fund,Completed,,,,,,,,,,,,,,,,
762  ,"Surfacing of K. Asante  Avenue, West Legon (Chainage 0+000-00+140) – Ayawaso west Contract No. AMRD/PM/PQ/VOL.5/2014/083",West Legon,Messrs Syndicated Capital Engineering,Metro Roads Department,"Thursday, July 14, 2016","Friday, January 15, 2027","49,932.50",Road Fund,Completed,,,,,,,,,,,,,,,,
763  ,Gravelling works on  Nii Boi Maclean – Dansoman(CH 0+000-0+450) Ablekuma South,  Nii Boi Maclean,Messrs Tamdag Enterprise,Metro Roads Department,-,-,"49,946.90",Road Fund,Completed,,,,,,,,,,,,,,,,
764  ,Pavement of Alleys  in  Roxy Flomi (Saka Tsuru We) within the UN-Habitat Facility,Ga-Mashie,Messrs  Dwawill Company Ltd,Metro Roads Department,-,-,"30,713.52",Road Fund,Completed,,,,,,,,,,,,,,,,
765  ,Pavement of Alleys In Tolon with Un –Habitat Facility,Ga – Mashie,Messrs Joeboch Company (GH) Ltd,Metro Roads Department,-,-,"49,524.05",Road Fund,Completed,,,,,,,,,,,,,,,,
766  ,Pavement of Alleys In Adanse (Behind Sacred Heart School) With UN –Habitat Facility,Ga – Mashie,Messrs Ken-Den & Chris Pavement and Concrete Works Ltd,Metro Roads Department,-,-,"17,677.12",Road Fund,Completed,,,,,,,,,,,,,,,,
767  ,Pavement of Alleys In Adjrinormi(Adadentam) With Un –Habitat Facility,Ga – Mashie,Messrs Ken-Den & Chris Pavement And Concrete Works Ltd,Metro Roads Department,-,-,"47,583.84",Road Fund,Completed,,,,,,,,,,,,,,,,
768  ,"Surfacing works on Aduemi Road (CH 0+390-0+590) Okaikoi North, Relocated to 22nd Street Chantan –Okaikoi North",Niiboiman,Messrs Yodoku Limited,Metro Roads Department,"Monday, September 15, 2025","Monday, October 15, 2018","49,810.96",Road Fund,Completed,,,,,,,,,,,,,,,,
769  ,Surfacing Works on Aduemi Road (Chainage 0+000-0+130)-Okaikoi North Relocated to: 22nd Street Chantan-Okaikoi North,Nii Bioman,Messrs Yodoku Limited,Metro Roads Department,"Friday, December 14, 2018","Saturday, July 15, 2023","49,810.96",Road Fund,Completed,,,,,,,,,,,,,,,,
770  ,Surfacing Works on Aduemi Road (Chainage 0+130-0+260)-Okaikoi North Relocated to: 22nd Street Chantan,Nii Bioman,Messrs Yodoku Limited,Metro Roads Department,"Friday, December 14, 2018","Saturday, July 15, 2023","49,810.96",Road Fund,Completed,,,,,,,,,,,,,,,,
771  ,Surfacing Works on Aduemi Road (Chainage 0+260-0+390)-Okaikoi North Relocated to: 22nd Street Chantan,Nii Bioman,Messrs Yodoku Limited,Metro Roads Department,"Friday, December 14, 2018","Friday, December 14, 2018","49,810.96",Road Fund,Completed,,,,,,,,,,,,,,,,
772  ,Construction of Fence Wall and Paving for the Proposed Expansion of Walkway at CMB (Railways)Bus Stop,CMB (Railways),Messrs Al-Manass Ventures,Metro Roads Department,-,-,"69,722.40",Road Fund,Completed,,,,,,,,,,,,,,,,
773  ,Gravelling Works Along Mampong Okai Street (Chainage 0+350-0+700) Ablekuma South,Dansoman,Messrs Mbanba Construction,Metro Roads Department,-,-,"49,081.40",Road Fund,Completed,,,,,,,,,,,,,,,,
774  ,Construction of Speed Table on Boundary Road & Speed Hump on 5th Street Mempeasem East Legon,East Legon,M/S Danderk Construction LTD,Metro Roads Department,-,-,"49,481.50",Road Fund,Completed,,,,,,,,,,,,,,,,
775  ,Gravelling Works Along Mampong Okai Street (Chainage 0+000-0+350),Dansoman,Messrs Mbanba Construction,Metro Roads Department,"Sunday, March 14, 2027","Monday, August 14, 2006","49,081.40",Road Fund,Completed,,,,,,,,,,,,,,,,
776  ,Construction of Road Hump on 5th Street Mempeasem East Legon –Ayawaso West,East Legon,M/S Danderk Construction LTD,Metro Roads Department,-,-,"48,342.00",Road Fund,Completed,,,,,,,,,,,,,,,,
777  ,Surfacing works on Gbawe Road ( Chainage 0+260-0+390) – Ablekuma Central,Flamingo Area,Messrs Intra Grid System/ Syndicated Capital Finance,Metro Roads Department,"Thursday, July 14, 2016","Tuesday, December 14, 2004","49,239.82",Road Fund,Completed,,,,,,,,,,,,,,,,
778  ,Gravelling works on Nsakinaa Link (Chainage 0+020-0+190)- Ablekuma South,Dansoman,Messrs Euodyjoy Enterprise,Metro Roads Department,"Tuesday, May 13, 2014","Sunday, April 14, 2002","49,342.00",Road Fund,Completed,,,,,,,,,,,,,,,,
779  ,Gravelling works along Gbegbe Crescent Mamprobi (Chainage 0+000-0+350) Ablekuma South,Ablekuma South,Messrs Mahami Company Limited,Metro Roads Department,-,-,"49,543.00",Road Fund,Completed,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
